시설년도,위치코드,시설구분1,시설구분2,쉼터명칭,도로명주소,지번주소,기본운영_요일,기본운영_시작시간,기본운영_종료시간,피크시간_개방,주말_개방,연장운영,추가운영,경도,위도,X좌표(EPSG:5186),Y좌표(EPSG:5186)
2026,1154562000,생활밀착민간시설,종교시설,신일교회(1층로비및카페),서울특별시 금천구 시흥대로90길 25 (독산동),서울특별시 금천구 독산동 1060-18,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.8993157,37.461804,191092.41184383,540269.63672008
2026,1154561000,특정계층이용시설,회원이용시설,만수경로당,서울특별시 금천구 시흥대로90길 60-3,서울특별시 금천구 독산동 1063-14,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.900969,37.4628214,191238.79883319,540382.39920098
2026,1154563000,공공시설,공공청사,독산보건지소,서울특별시 금천구 독산로87길 27 (독산동),서울특별시 금천구 독산동 985-22,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.9022527,37.4736703,191353.6164775,541586.36181551
2026,1154563000,생활밀착민간시설,금융기관,새마을금고독산동,서울특별시 금천구 독산로 323 (독산동),서울특별시 금천구 독산동 973-11,"월,화,수,목,금",09:00,16:00,False,False,False,False,126.9033176,37.4755563,191448.02872091,541795.58530529
2026,1154563000,특정계층이용시설,회원이용시설,목화경로당,서울특별시 금천구 문성로7가길 14 (독산동),서울특별시 금천구 독산동 883-4,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.906504,37.4775444,191730.09855517,542015.95323285
2026,1154563000,특정계층이용시설,회원이용시설,동산경로당,서울특별시 금천구 독산로54길 247,서울특별시 금천구 독산동 993-29,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.9059886,37.4729248,191683.99857922,541503.2848797
2026,1154561000,특정계층이용시설,회원이용시설,구룡경로당,서울특별시 금천구 독산동 남부순환로122길  5   (독산동),서울특별시 금천구 독산동 952-25,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.9022011,37.4791717,191349.68623877,542196.94842852
2026,1154561000,특정계층이용시설,회원이용시설,문성경로당,서울특별시 금천구 독산동 독산로93길  18   (독산동),서울특별시 금천구 독산동 980-44,"월,화,수,목,금",09:00,16:00,False,False,False,False,126.9022738,37.474045,191355.52606507,541627.94655254
2026,1154563000,공공시설,공공청사,독산3동주민센터,서울특별시 금천구 독산로 317,서울특별시 금천구 독산동 973-17,"월,화,수,목,금",09:00,18:00,True,False,True,True,126.9031743,37.4751601,191435.30800826,541751.62543192
2026,1154564000,공공시설,복지·문화·체육시설,금천구민문화체육센터,서울특별시 금천구 독산로54길 188 (금천구민문화체육센터),서울특별시 금천구 독산동 371-2,"월,화,수,목,금",09:00,18:00,True,False,True,False,126.907263,37.470138,191796.42412077,541193.87582378
2026,1154564000,생활밀착민간시설,종교시설,예수비전교회,서울특별시 금천구 가산로 9,서울특별시 금천구 독산동 199-11,"화,수,목,금",10:00,17:00,True,False,False,False,126.901751,37.470857,191308.91210703,541274.16951437
2026,1154564000,특정계층이용시설,회원이용시설,대덕트윈빌아파트경로당,서울특별시 금천구 시흥대로112길 6 (대덕트윈빌 101동),서울특별시 금천구 독산동 1028,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.899029,37.467339,191067.70585554,540883.9736751
