분류,시설년도,위치코드,시설구분1,시설구분2,쉼터명칭,도로명주소,지번주소,기본운영_요일,기본운영_시작시간,기본운영_종료시간,연장운영_운영여부,연장운영_요일,연장운영_시작시간,연장운영_종료시간,추가운영_운영여부,추가운영_요일,추가운영_시작시간,추가운영_종료시간,비고,경도,위도,X좌표(EPSG:5186),Y좌표(EPSG:5186)
은행,2026,1154563000,생활밀착민간시설,금융기관,새마을금고독산동,서울특별시 금천구 독산로 323 (독산동),서울특별시 금천구 독산동 973-11,"월,화,수,목,금",09:00,16:00,N,,,,N,,,,,126.9033176,37.4755563,191448.02872091,541795.58530529
은행,2026,1154567000,생활밀착민간시설,금융기관,국민은행금천지점,서울특별시 금천구 시흥대로 202 (대의빌딩),서울특별시 금천구 시흥동 890-4,"월,화,수,목,금",09:00,16:00,N,,,,N,,,,,126.9019860,37.4520300,191327.52605231,539184.60778008
은행,2026,1154567000,생활밀착민간시설,금융기관,농협시흥동지점,서울특별시 금천구 시흥대로 215,서울특별시 금천구 시흥동 993-3,"월,화,수,목,금",09:00,16:00,N,,,,N,,,,,126.9008250,37.4529260,191224.90310585,539284.15889795
은행,2026,1154567000,생활밀착민간시설,금융기관,우리은행금천구청지점,서울특별시 금천구 시흥대로73길 70 (시흥동),서울특별시 금천구 시흥동 1020,"월,화,수,목,금",09:00,16:00,N,,,,N,,,,,126.8948525,37.4564983,190696.89303954,539681.20801458
은행,2026,1154567000,생활밀착민간시설,금융기관,신한은행시흥점,서울특별시 금천구 시흥대로 230 (시흥동),서울특별시 금천구 시흥동 883-5,"월,화,수,목,금",09:00,16:00,N,,,,N,,,,,126.9012201,37.4544287,191260.03678757,539450.90114823
은행,2026,1154569000,생활밀착민간시설,금융기관,새마을금고금천남부시흥3동지점,서울특별시 금천구 시흥대로 78 (시흥동),서울특별시 금천구 시흥동 954-32,"월,화,수,목,금",09:00,16:00,N,,,,N,,,,,126.9038057,37.4409324,191487.27946236,537952.76283101
은행,2026,1154570000,생활밀착민간시설,금융기관,새마을금고시흥제1지점,서울특별시 금천구 독산로 140-1 (시흥동),서울특별시 금천구 시흥동 802-34,"월,화,수,목,금",09:00,16:00,N,,,,N,,,,,126.9052112,37.4599475,191613.78234748,540063.04942284
은행,2026,1154571000,생활밀착민간시설,금융기관,새마을금고금천남부,서울특별시 금천구 금하로 724-1 (시흥동),서울특별시 금천구 시흥동 272-19,"월,화,수,목,금",09:00,16:00,N,,,,N,,,,,126.9101357,37.4504235,192048.45785273,539005.58958133
은행,2026,1154551000,생활밀착민간시설,금융기관,신한은행디지털중앙지점,서울특별시 금천구 가산디지털1로 186 (가산동),서울특별시 금천구 가산동 459-11,"월,화,수,목,금",09:00,16:00,N,,,,N,,,,,126.8815541,37.4820100,189523.85450539,542514.05903251
은행,2026,1154561000,생활밀착민간시설,금융기관,새마을금고금천중앙,서울특별시 금천구 가산로 52 (독산동),서울특별시 금천구 독산동 151-13,"월,화,수,목,금",09:00,16:00,N,,,,N,,,,,126.8971619,37.4717225,190903.06596979,541370.66174323
은행,2026,1154562000,생활밀착민간시설,금융기관,다원새마을금고,서울특별시 금천구 독산로 192 (독산동),서울특별시 금천구 독산동 378-395,"월,화,수,목,금",09:00,16:00,N,,,,N,,,,,126.9032961,37.4641864,191444.83127298,540533.68172835
체육관,2026,1154564000,공공시설,복지?문화?체육시설,금천구민문화체육센터,서울특별시 금천구 독산로54길 188 (금천구민문화체육센터),서울특별시 금천구 독산동 371-2,"월,화,수,목,금",09:00,18:00,Y,"월,화,수,목,금",18:00,21:00,N,,,,,126.9072630,37.4701380,191796.42412077,541193.87582378
체육관,2026,1154561000,공공시설,복지?문화?체육시설,금나래문화체육센터(1층북카페),서울특별시 금천구 시흥대로79길 32 (독산동),서울특별시 금천구 독산동 1148,"월,화,수,목,금,토",09:00,21:00,Y,"월,화,수,목,금,토",21:00,22:00,Y,일,09:00,18:00,,126.8964110,37.4588870,190835.07557150,539946.16820371
체육관,,,공공시설,체육시설,독산배드민턴체육관,서울특별시 금천구 독산동 독산로54길 102-82,,,,,,,,,,,,,"무더위쉼터 원자료에 없음. 주소는 금천구청 누리집, 좌표 출처: ArcGIS 지오코딩(주소 지점 일치)",126.9099691,37.4673654,,
체육관,,,공공시설,체육시설,금천탁구회관,서울특별시 금천구 시흥동 시흥대로51길 93 (시흥빗물펌프장 3층),,,,,,,,,,,,,"무더위쉼터 원자료에 없음. 주소는 금천구청 누리집, 좌표 출처: OSM Nominatim(도로명+번호 일치)",126.8966062,37.4505249,,
체육관,,,공공시설,체육시설,독산테니스장,서울특별시 금천구 독산동 독산로54길 288,,,,,,,,,,,,,"무더위쉼터 원자료에 없음. 주소는 금천구청 누리집, 좌표 출처: 서울시 생활체육포털(ft_idx=674)",126.9069462,37.4744363,,
