시설유형,시설명,시구동,시설수,상세주소,위도,경도,좌표출처
경로당,매봉경로당,서울특별시 금천구 가산동,1,시흥대로149가길 6,37.4755881,126.895548,서울시 무더위쉼터(시설명 일치: 매봉경로당)
경로당,상록경로당,서울특별시 금천구 가산동,1,벚꽃로38길 35,37.4828,126.8843,서울시 무더위쉼터(시설명 일치: 상록경로당)
경로당,우정경로당,서울특별시 금천구 가산동,1,두산로3길 49,37.4726854,126.8887064,서울시 무더위쉼터(시설명 일치: 우정경로당)
경로당,가산삼익아파트경로당,서울특별시 금천구 가산동,1,두산로9길 56,37.4726933,126.8927411,ArcGIS 지오코딩(주소 지점 일치)
경로당,"두산아파트A지구경로당, 두산아파트C지역경로당",서울특별시 금천구 가산동,2,가산로 99,37.4745039,126.8937662,ArcGIS 지오코딩(주소 지점 일치)
경로당,우창경로당,서울특별시 금천구 가산동,1,서부샛길 572,37.477768,126.8772013,ArcGIS 지오코딩(주소 지점 일치)
경로당,말미경로당,서울특별시 금천구 독산동,1,"범안로17길 22, 2층",37.4675016,126.8944192,서울시 무더위쉼터(시설명 일치: 말미경로당)
경로당,복지경로당,서울특별시 금천구 독산동,1,벚꽃로10길 94,37.464581,126.895285,서울시 무더위쉼터(시설명 일치: 복지경로당)
경로당,세일경로당,서울특별시 금천구 독산동,1,시흥대로147길 30-15,37.4747791,126.896187,서울시 무더위쉼터(시설명 일치: 세일경로당)
경로당,영보경로당,서울특별시 금천구 독산동,1,시흥대로141길 61-1,37.475583,126.897327,서울시 무더위쉼터(시설명 일치: 영보경로당)
경로당,참새공원경로당,서울특별시 금천구 독산동,1,한내로 55,37.4569538,126.8871926,서울시 무더위쉼터(도로명주소 일치: 참새경로당)
경로당,철쭉경로당,서울특별시 금천구 독산동,1,금하로1마길 15-8,37.4528822,126.889601,서울시 무더위쉼터(시설명 일치: 철쭉경로당)
