시설유형,시설명,시구동,시설수,상세주소,위도,경도,좌표출처,일치기준,기존쉼터명칭,기존쉼터_도로명주소,기존쉼터_지번주소
경로당,매봉경로당,서울특별시 금천구 가산동,1,시흥대로149가길 6,37.4755881,126.895548,서울시 무더위쉼터(시설명 일치: 매봉경로당),시설명,매봉경로당,"서울특별시 금천구 가산동 시흥대로149가길  6 , 조마공원 (가산동)",서울특별시 금천구 가산동 148-11
경로당,상록경로당,서울특별시 금천구 가산동,1,벚꽃로38길 35,37.4828,126.8843,서울시 무더위쉼터(시설명 일치: 상록경로당),시설명,상록경로당,서울특별시 금천구 벚꽃로38길 35 (가산동),서울특별시 금천구 가산동 602-71
경로당,우정경로당,서울특별시 금천구 가산동,1,두산로3길 49,37.4726854,126.8887064,서울시 무더위쉼터(시설명 일치: 우정경로당),시설명,우정경로당,서울특별시 금천구 두산로3길 49,서울특별시 금천구 가산동 238-3
경로당,말미경로당,서울특별시 금천구 독산동,1,"범안로17길 22, 2층",37.4675016,126.8944192,서울시 무더위쉼터(시설명 일치: 말미경로당),시설명,말미경로당,서울특별시 금천구 범안로17길 22,서울특별시 금천구 독산동 293-14
경로당,복지경로당,서울특별시 금천구 독산동,1,벚꽃로10길 94,37.464581,126.895285,서울시 무더위쉼터(시설명 일치: 복지경로당),시설명,복지경로당,서울특별시 금천구 벚꽃로10길 94,서울특별시 금천구 독산동 1010
경로당,세일경로당,서울특별시 금천구 독산동,1,시흥대로147길 30-15,37.4747791,126.896187,서울시 무더위쉼터(시설명 일치: 세일경로당),시설명,세일경로당,서울특별시 금천구 시흥대로147길 30-15,서울특별시 금천구 독산동 147-56
경로당,영보경로당,서울특별시 금천구 독산동,1,시흥대로141길 61-1,37.475583,126.897327,서울시 무더위쉼터(시설명 일치: 영보경로당),시설명,영보경로당,서울특별시 금천구 시흥대로141길 61-1,서울특별시 금천구 독산동 144-60
경로당,참새공원경로당,서울특별시 금천구 독산동,1,한내로 55,37.4569538,126.8871926,서울시 무더위쉼터(도로명주소 일치: 참새경로당),도로명주소,참새경로당,서울특별시 금천구 한내로 55,서울특별시 금천구 독산동 1088-2
경로당,철쭉경로당,서울특별시 금천구 독산동,1,금하로1마길 15-8,37.4528822,126.889601,서울시 무더위쉼터(시설명 일치: 철쭉경로당),시설명,철쭉경로당,서울특별시 금천구 금하로1마길 15-8,서울특별시 금천구 독산동 1112
경로당,금천롯데캐슬골드파크1차경로당,서울특별시 금천구 독산동,1,벚꽃로 40,37.459752,126.89446,서울시 무더위쉼터(시설명 일치: 금천롯데캐슬골드파크1차경로당),시설명,금천롯데캐슬골드파크1차경로당,서울특별시 금천구 벚꽃로 40 (금천롯데캐슬 골드파크 1차 102동),서울특별시 금천구 독산동 1147
경로당,금천롯데캐슬골드파크3차경로당,서울특별시 금천구 독산동,1,시흥대로 291,37.459919,126.89725,서울시 무더위쉼터(시설명 일치: 금천롯데캐슬골드파크3차경로당),시설명,금천롯데캐슬골드파크3차경로당,서울특별시 금천구 시흥대로 291 (금천롯데캐슬골드파크3차),서울특별시 금천구 독산동 1155
경로당,금천현대아파트경로당,서울특별시 금천구 독산동,1,벚꽃로 73,37.462267,126.890337,서울시 무더위쉼터(시설명 일치: 금천현대아파트경로당),시설명,금천현대아파트경로당,서울특별시 금천구 벚꽃로 73 (금천현대아파트부설어린이집),서울특별시 금천구 독산동 711-2
경로당,진도3차아파트경로당,서울특별시 금천구 독산동,1,범안로17길 41,37.468504,126.893454,서울시 무더위쉼터(시설명 일치: 진도3차아파트경로당),시설명,진도3차아파트경로당,서울특별시 금천구 범안로17길 41 (진도3차아파트 진도3차아파트),서울특별시 금천구 독산동 1136
경로당,만수경로당,서울특별시 금천구 독산동,1,시흥대로90길 60-3,37.4628214,126.900969,서울시 무더위쉼터(시설명 일치: 만수경로당),시설명,만수경로당,서울특별시 금천구 시흥대로90길 60-3,서울특별시 금천구 독산동 1063-14
경로당,정훈경로당,서울특별시 금천구 독산동,1,독산로64길 79,37.466802,126.906432,서울시 무더위쉼터(시설명 일치: 정훈경로당),시설명,정훈경로당,서울특별시 금천구 독산로64길 79,서울특별시 금천구 독산동 378-21
경로당,구룡경로당,서울특별시 금천구 독산동,1,남부순환로122길 5,37.4791717,126.9022011,서울시 무더위쉼터(시설명 일치: 구룡경로당),시설명,구룡경로당,서울특별시 금천구 독산동 남부순환로122길  5   (독산동),서울특별시 금천구 독산동 952-25
경로당,동산경로당,서울특별시 금천구 독산동,1,독산로54길 247,37.4729248,126.9059886,서울시 무더위쉼터(시설명 일치: 동산경로당),시설명,동산경로당,서울특별시 금천구 독산로54길 247,서울특별시 금천구 독산동 993-29
경로당,목화경로당,서울특별시 금천구 독산동,1,문성로7가길 14,37.4775444,126.906504,서울시 무더위쉼터(시설명 일치: 목화경로당),시설명,목화경로당,서울특별시 금천구 문성로7가길 14 (독산동),서울특별시 금천구 독산동 883-4
경로당,문성경로당,서울특별시 금천구 독산동,1,독산로93길 18,37.474045,126.9022738,서울시 무더위쉼터(시설명 일치: 문성경로당),시설명,문성경로당,서울특별시 금천구 독산동 독산로93길  18   (독산동),서울특별시 금천구 독산동 980-44
경로당,감로천경로당,서울특별시 금천구 독산동,1,독산로72길 86-5,37.4695,126.9064,서울시 무더위쉼터(시설명 일치: 감로천경로당),시설명,감로천경로당,서울특별시 금천구 독산로72길 86-5 (독산동),서울특별시 금천구 독산동 917
경로당,정심경로당,서울특별시 금천구 독산동,1,독산로75길 12-7,37.469376,126.901665,서울시 무더위쉼터(시설명 일치: 정심경로당),시설명,정심경로당,서울특별시 금천구 독산로75길 12-7 (정심경로당 소망공원),서울특별시 금천구 독산동 196-8
경로당,대덕트윈빌아파트경로당,서울특별시 금천구 독산동,1,시흥대로112길 6,37.467339,126.899029,서울시 무더위쉼터(시설명 일치: 대덕트윈빌아파트경로당),시설명,대덕트윈빌아파트경로당,서울특별시 금천구 시흥대로112길 6 (대덕트윈빌 101동),서울특별시 금천구 독산동 1028
경로당,대명경로당,서울특별시 금천구 시흥동,1,독산로11길 4,37.452227,126.9055948,서울시 무더위쉼터(시설명 일치: 대명경로당),시설명,대명경로당,서울특별시 금천구 독산로11길 4 (시흥동),서울특별시 금천구 시흥동 895-5
경로당,새재미경로당,서울특별시 금천구 시흥동,1,독산로39길 16,37.4588453,126.9042611,서울시 무더위쉼터(시설명 일치: 새재미경로당),시설명,새재미경로당,서울특별시 금천구 독산로39길 16,서울특별시 금천구 시흥동 855
경로당,남서울힐스테이트경로당,서울특별시 금천구 시흥동,1,시흥대로 165,37.447625,126.900616,서울시 무더위쉼터(시설명 일치: 남서울힐스테이트경로당),시설명,남서울힐스테이트경로당,서울특별시 금천구 시흥대로 165 (남서울힐스테이트 부대시설),서울특별시 금천구 시흥동 1026
경로당,목련아파트경로당,서울특별시 금천구 시흥동,1,금하로3길 26,37.454535,126.897596,서울시 무더위쉼터(시설명 일치: 목련아파트경로당),시설명,목련아파트경로당,서울특별시 금천구 금하로3길 26 (시흥목련아파트103동),서울특별시 금천구 시흥동 1009
경로당,시흥베르빌아파트경로당,서울특별시 금천구 시흥동,1,시흥대로77길 23,37.4581271,126.8984574,서울시 무더위쉼터(도로명주소 일치: 금천구시각장애인쉼터),도로명주소,금천구시각장애인쉼터,"서울특별시 금천구 시흥대로77길 23 (시흥동, 시흥베르빌아파트)",서울특별시 금천구 시흥동 1015
경로당,산장경로당,서울특별시 금천구 시흥동,1,탑골로2길 59-9,37.4508156,126.9138957,서울시 무더위쉼터(시설명 일치: 산장경로당),시설명,산장경로당,서울특별시 금천구 탑골로2길 59-9,서울특별시 금천구 시흥동 243-31
