시설유형,시설명,시구동,시설수,상세주소,위도,경도,좌표출처
경로당,가산삼익아파트경로당,서울특별시 금천구 가산동,1,두산로9길 56,37.4726933,126.8927411,ArcGIS 지오코딩(주소 지점 일치)
경로당,"두산아파트A지구경로당, 두산아파트C지역경로당",서울특별시 금천구 가산동,2,가산로 99,37.4745039,126.8937662,ArcGIS 지오코딩(주소 지점 일치)
경로당,우창경로당,서울특별시 금천구 가산동,1,서부샛길 572,37.477768,126.8772013,ArcGIS 지오코딩(주소 지점 일치)
경로당,각산아파트경로당,서울특별시 금천구 독산동,1,한내로 52,37.4559702,126.8869892,ArcGIS 지오코딩(주소 지점 일치)
경로당,계룡아파트경로당,서울특별시 금천구 독산동,1,범안로15길 7,37.4668756,126.8930081,ArcGIS 지오코딩(주소 지점 일치)
경로당,금천롯데캐슬골드파크2차경로당,서울특별시 금천구 독산동,1,벚꽃로 30,37.4582229,126.8937104,ArcGIS 지오코딩(주소 지점 일치)
경로당,독산역롯데캐슬아파트경로당,서울특별시 금천구 독산동,1,벚꽃로 100,37.4645668,126.8916804,ArcGIS 지오코딩(주소 지점 일치)
경로당,독산현대아파트경로당,서울특별시 금천구 독산동,1,범안로17길 12,37.4673717,126.8955786,ArcGIS 지오코딩(주소 지점 일치)
경로당,라이프아파트꽃마음경로당,서울특별시 금천구 독산동,1,벚꽃로 60,37.4608663,126.8924667,ArcGIS 지오코딩(주소 지점 일치)
경로당,주공14단지아파트경로당,서울특별시 금천구 독산동,1,한내로 69-54,37.4600192,126.8863525,ArcGIS 지오코딩(주소 지점 일치)
경로당,중앙하이츠아파트경로당,서울특별시 금천구 독산동,1,범안로 1136,37.4653308,126.8885366,ArcGIS 지오코딩(주소 지점 일치)
경로당,한신아파트경로당,서울특별시 금천구 독산동,1,한내로 62,37.4543244,126.8896904,ArcGIS 지오코딩(주소 지점 일치)
경로당,해가든아파트경로당,서울특별시 금천구 독산동,1,벚꽃로6길 3,37.4607551,126.8929982,ArcGIS 지오코딩(주소 지점 일치)
경로당,e편한세상 독산 더타워아파트경로당,서울특별시 금천구 독산동,1,범안로 1212,37.4654541,126.8963705,ArcGIS 지오코딩(주소 지점 일치)
경로당,독산동한양수자인아파트,서울특별시 금천구 독산동,1,시흥대로150길 6,37.475681,126.8992357,ArcGIS 지오코딩(주소 지점 일치)
경로당,독산삼익아파트경로당,서울특별시 금천구 독산동,1,남부순환로120길 22,37.4779403,126.9002529,ArcGIS 지오코딩(주소 지점 일치)
경로당,독산신도아파트경로당,서울특별시 금천구 독산동,1,시흥대로152길 25,37.477316,126.8998016,ArcGIS 지오코딩(주소 지점 일치)
경로당,동아아파트경로당,서울특별시 금천구 독산동,1,독산로78다길 52,37.4696581,126.9061637,ArcGIS 지오코딩(주소 지점 일치)
경로당,효정경로당,서울특별시 금천구 시흥동,1,시흥대로 266(203호),37.4575222,126.8999241,OSM Nominatim(도로명+번호 일치)
